 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 09/23/2020; time = 16:16:51
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=   2.00000009E-03
 # location=faultst075dp075
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
                                                                                                                                                                                # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
 #
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.0000000E+00  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1200000E-01  0.0000000E+00  0.0000000E+00  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1400000E-01  0.0000000E+00  0.0000000E+00  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1600000E-01  0.0000000E+00  0.7458573E-24  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.1300037E-31 -0.1200000E+03
  0.1800000E-01  0.2983430E-26  0.1026492E-22  0.6200000E+02  0.0000000E+00  0.0000000E+00 -0.2648894E-28 -0.1200000E+03
  0.2000000E-01  0.4105969E-25  0.6272386E-22  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.7909405E-28 -0.1200000E+03
  0.2200000E-01  0.2538789E-24  0.2705863E-21  0.6200000E+02  0.0000000E+00 -0.7703720E-36  0.6011182E-27 -0.1200000E+03
  0.2400000E-01  0.1123405E-23  0.9492217E-21  0.6200000E+02  0.0000000E+00 -0.3081488E-35  0.2432638E-26 -0.1200000E+03
  0.2600000E-01  0.4050766E-23  0.2897941E-20  0.6200000E+02 -0.1175494E-37  0.1444450E-36  0.4705977E-26 -0.1200000E+03
  0.2800000E-01  0.1271517E-22  0.7991120E-20  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.4113279E-26 -0.1200000E+03
  0.3000000E-01  0.3601525E-22  0.2033425E-19  0.6200000E+02  0.0000000E+00 -0.1504633E-35  0.1979000E-25 -0.1200000E+03
  0.3200000E-01  0.9405220E-22  0.4838793E-19  0.6200000E+02 -0.9403955E-37 -0.4363435E-34  0.5585051E-25 -0.1200000E+03
  0.3400000E-01  0.2295670E-21  0.1086664E-18  0.6200000E+02  0.0000000E+00 -0.9860762E-34  0.9934728E-25 -0.1200000E+03
  0.3600000E-01  0.5287177E-21  0.2318575E-18  0.6200000E+02 -0.1880791E-36 -0.1972152E-33  0.1390351E-24 -0.1200000E+03
  0.3800000E-01  0.1156997E-20  0.4724838E-18  0.6200000E+02 -0.9403955E-36 -0.2888895E-33  0.4581175E-24 -0.1200000E+03
  0.4000000E-01  0.2418653E-20  0.9234858E-18  0.6200000E+02  0.3761582E-36 -0.2110820E-33 -0.2154193E-24 -0.1200000E+03
  0.4200000E-01  0.4850941E-20  0.1737322E-17  0.6200000E+02 -0.1504633E-35 -0.1741040E-33 -0.4522334E-24 -0.1200000E+03
  0.4400000E-01  0.9367942E-20  0.3155304E-17  0.6200000E+02  0.7523164E-36  0.9629650E-33 -0.2248781E-23 -0.1200000E+03
  0.4600000E-01  0.1747216E-19  0.5546779E-17  0.6200000E+02 -0.1203706E-34  0.0000000E+00 -0.2645528E-23 -0.1200000E+03
  0.4800000E-01  0.3155506E-19  0.9459361E-17  0.6200000E+02  0.0000000E+00  0.1577722E-32 -0.9222641E-24 -0.1200000E+03
  0.5000000E-01  0.5530961E-19  0.1568062E-16  0.6200000E+02  0.0000000E+00  0.0000000E+00  0.6129425E-24 -0.1200000E+03
  0.5200000E-01  0.9427755E-19  0.2530900E-16  0.6200000E+02  0.0000000E+00  0.2958234E-33  0.3063959E-23 -0.1200000E+03
  0.5400000E-01  0.1565456E-18  0.3983170E-16  0.6200000E+02  0.0000000E+00  0.9860708E-34 -0.1335253E-24 -0.1200000E+03
