 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 09/23/2020; time = 16:16:51
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=   2.00000009E-03
 # location=faultst000dp045
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
                                                                                                                                                                                # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
 #
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00 -0.1130588E-10  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.6723553E-13 -0.1200000E+03
  0.8000000E-02 -0.4522353E-13 -0.3074428E-10  0.7000000E+02 -0.0000000E+00  0.2710503E-21  0.1641139E-12 -0.1200000E+03
  0.1000000E-01 -0.1229771E-12 -0.4472522E-10  0.7000000E+02 -0.1058791E-21  0.0000000E+00  0.5490912E-12 -0.1200000E+03
  0.1200000E-01 -0.2241244E-12 -0.5936607E-10  0.7000000E+02 -0.0000000E+00  0.0000000E+00  0.2225509E-11 -0.1200000E+03
  0.1400000E-01 -0.3604414E-12 -0.6331449E-10  0.7000000E+02 -0.0000000E+00  0.6938894E-20  0.5563473E-11 -0.1200000E+03
  0.1600000E-01 -0.4773823E-12 -0.7571625E-10  0.7000000E+02 -0.0000000E+00  0.1387779E-19  0.1282207E-10 -0.1200000E+03
  0.1800000E-01 -0.6633065E-12 -0.8673105E-10  0.7000000E+02 -0.0000000E+00  0.2775558E-19  0.2487712E-10 -0.1200000E+03
  0.2000000E-01 -0.8243066E-12 -0.9606313E-10  0.7000000E+02 -0.0000000E+00  0.5551115E-19  0.4476331E-10 -0.1200000E+03
  0.2200000E-01 -0.1047559E-11 -0.1028602E-09  0.7000000E+02  0.6776264E-20  0.2775543E-19  0.7299964E-10 -0.1200000E+03
  0.2400000E-01 -0.1235748E-11 -0.8290807E-10  0.7000000E+02  0.1355253E-19  0.8326690E-19  0.2679178E-08 -0.1200000E+03
  0.2600000E-01 -0.1379191E-11 -0.4056825E-10  0.7000000E+02 -0.0000000E+00 -0.8326690E-19 -0.1008981E-08 -0.1200000E+03
  0.2800000E-01 -0.1398021E-11  0.1680740E-10  0.7000000E+02 -0.0000000E+00  0.3635981E-17  0.2648535E-08 -0.1200000E+03
  0.3000000E-01 -0.1311962E-11  0.1051236E-09  0.7000000E+02  0.5421011E-19 -0.3885782E-17 -0.2389124E-08 -0.1200000E+03
  0.3200000E-01 -0.9775260E-12  0.2439720E-09  0.7000000E+02  0.5421011E-19  0.3330676E-18  0.1935351E-08 -0.1200000E+03
  0.3400000E-01 -0.3360739E-12  0.4724444E-09  0.7000000E+02  0.1084202E-18  0.0000000E+00 -0.1111165E-08 -0.1200000E+03
  0.3600000E-01  0.9122517E-12  0.8194638E-09  0.7000000E+02  0.1084202E-18  0.7105428E-17  0.4615543E-08 -0.1200000E+03
  0.3800000E-01  0.2941782E-11  0.1308654E-08  0.7000000E+02  0.2168404E-18 -0.1776357E-17 -0.1371329E-08 -0.1200000E+03
  0.4000000E-01  0.6146869E-11  0.1982348E-08  0.7000000E+02  0.2168404E-18  0.7105428E-17  0.3890755E-08 -0.1200000E+03
  0.4200000E-01  0.1087117E-10  0.2903075E-08  0.7000000E+02  0.2168404E-18  0.0000000E+00 -0.1423832E-08 -0.1200000E+03
  0.4400000E-01  0.1775917E-10  0.4152697E-08  0.7000000E+02  0.2168404E-18  0.7438494E-17  0.6550517E-08 -0.1200000E+03
  0.4600000E-01  0.2748196E-10  0.5796629E-08  0.7000000E+02  0.2168404E-18  0.3330659E-18  0.2365013E-09 -0.1200000E+03
  0.4800000E-01  0.4094569E-10  0.7918728E-08  0.7000000E+02  0.2168404E-18  0.7438494E-17  0.6125247E-08 -0.1200000E+03
  0.5000000E-01  0.5915687E-10  0.1081234E-07  0.7000000E+02  0.4336809E-18 -0.4996005E-18  0.2843200E-08 -0.1200000E+03
  0.5200000E-01  0.8419505E-10  0.1450094E-07  0.7000000E+02  0.4336809E-18  0.7605029E-17  0.7491884E-08 -0.1200000E+03
  0.5400000E-01  0.1171606E-09  0.1915004E-07  0.7000000E+02  0.4336809E-18  0.6439293E-17  0.2961639E-08 -0.1200000E+03
  0.5600000E-01  0.1607952E-09  0.2509048E-07  0.7000000E+02  0.3252607E-18  0.6661352E-18  0.5634406E-08 -0.1200000E+03
  0.5800000E-01  0.2175226E-09  0.3237150E-07  0.7000000E+02  0.3794708E-18  0.6439293E-17  0.7379186E-08 -0.1200000E+03
  0.6000000E-01  0.2902812E-09  0.4130769E-07  0.7000000E+02  0.3794708E-18  0.0000000E+00  0.8372322E-08 -0.1200000E+03
  0.6200000E-01  0.3827533E-09  0.5217565E-07  0.7000000E+02  0.4336809E-18  0.3552714E-17  0.2391512E-08 -0.1200000E+03
  0.6400000E-01  0.4989839E-09 -0.5441447E-07  0.7000001E+02  0.4336809E-18  0.1421086E-16  0.9590030E-08 -0.1200000E+03
  0.6600000E-01  0.1650954E-09 -0.3265734E-07  0.6999999E+02  0.4336809E-18  0.8881736E-18  0.1028487E-08 -0.1200000E+03
  0.6800000E-01  0.3683545E-09 -0.9151478E-08  0.7000001E+02  0.0000000E+00  0.1687540E-16  0.9384158E-08 -0.1200000E+03
  0.7000000E-01  0.1284895E-09  0.1798979E-07  0.6999999E+02  0.0000000E+00  0.2664527E-17  0.1924146E-08 -0.1200000E+03
  0.7200000E-01  0.4403137E-09  0.4920980E-07  0.7000001E+02  0.0000000E+00  0.2664541E-17  0.8953611E-08 -0.1200000E+03
  0.7400000E-01  0.3253287E-09 -0.3495645E-07  0.7000000E+02 -0.8673617E-18  0.9769969E-17  0.5442152E-08 -0.1200000E+03
  0.7600001E-01  0.3004879E-09  0.1159257E-07  0.7000000E+02  0.0000000E+00  0.1154632E-16  0.8341312E-08 -0.1200000E+03
  0.7800000E-01  0.3716989E-09 -0.5765101E-07  0.7000001E+02  0.0000000E+00  0.9769969E-17  0.5293784E-08 -0.1200000E+03
  0.8000001E-01  0.6988379E-10  0.4452332E-08  0.6999999E+02  0.0000000E+00  0.2309263E-16  0.1388109E-07 -0.1200000E+03
  0.8200000E-01  0.3895082E-09 -0.4762913E-07  0.7000002E+02  0.0000000E+00  0.5329081E-17  0.8622519E-08 -0.1200000E+03
  0.8400001E-01 -0.1206328E-09  0.3275539E-07  0.6999998E+02  0.0000000E+00  0.1776347E-17  0.6157626E-08 -0.1200000E+03
  0.8600000E-01  0.5205298E-09  0.3208811E-10  0.7000002E+02  0.0000000E+00  0.5329081E-17  0.9380063E-08 -0.1200000E+03
  0.8800001E-01 -0.1205045E-09 -0.1820112E-07  0.6999998E+02  0.0000000E+00  0.1776347E-17 -0.7908617E-08 -0.1200000E+03
  0.9000000E-01  0.4477254E-09 -0.2396061E-07  0.7000002E+02 -0.3469447E-17  0.1953994E-16  0.1577742E-07 -0.1200000E+03
  0.9200001E-01 -0.2163471E-09 -0.1625469E-07  0.6999998E+02 -0.3469447E-17  0.1776347E-17 -0.7551306E-08 -0.1200000E+03
  0.9400000E-01  0.3827066E-09  0.5443013E-08  0.7000002E+02 -0.3469447E-17  0.7993609E-17  0.2224208E-07 -0.1200000E+03
  0.9600000E-01 -0.1945751E-09  0.4114659E-07  0.6999998E+02 -0.3469447E-17 -0.2187140E-16 -0.1199615E-07 -0.1200000E+03
  0.9800000E-01  0.5472931E-09 -0.2858368E-07  0.7000003E+02 -0.3469447E-17  0.7327497E-17  0.1887438E-07 -0.1200000E+03
  0.1000000E+00 -0.3089100E-09  0.3643291E-07  0.6999998E+02 -0.3469447E-17 -0.7993609E-17 -0.1388141E-07 -0.1200000E+03
  0.1020000E+00  0.6930249E-09 -0.4343860E-08  0.7000004E+02 -0.3469447E-17  0.2753355E-16  0.1526908E-07 -0.1200000E+03
  0.1040000E+00 -0.3262857E-09 -0.2610420E-07  0.6999998E+02 -0.3469447E-17 -0.1332272E-16 -0.9207119E-08 -0.1200000E+03
  0.1060000E+00  0.5886079E-09 -0.3222794E-07  0.7000004E+02 -0.5204170E-17  0.5329081E-17  0.9702744E-08 -0.1200000E+03
  0.1080000E+00 -0.4551977E-09 -0.2350174E-07  0.6999998E+02 -0.3469447E-17 -0.1953994E-16 -0.9271355E-08 -0.1200000E+03
  0.1100000E+00  0.4946010E-09  0.2854051E-08  0.7000004E+02 -0.3469447E-17  0.5329081E-17  0.8191138E-08 -0.1200000E+03
  0.1120000E+00 -0.4437817E-09  0.4240425E-07  0.6999998E+02 -0.3035766E-17 -0.1065816E-16 -0.3102636E-07 -0.1200000E+03
  0.1140000E+00  0.6642183E-09 -0.2761942E-07  0.7000005E+02 -0.3903128E-17  0.3907988E-16  0.2083482E-07 -0.1200000E+03
  0.1160000E+00 -0.5542595E-09  0.3434940E-07  0.6999997E+02 -0.2602085E-17 -0.3907988E-16 -0.2714415E-07 -0.1200000E+03
  0.1180000E+00  0.8016162E-09 -0.1800703E-07  0.7000005E+02 -0.1734723E-17  0.0000000E+00  0.2431771E-07 -0.1200000E+03
  0.1200000E+00 -0.6262877E-09  0.5469565E-07  0.6999996E+02 -0.0000000E+00 -0.7105428E-17 -0.4908511E-08 -0.1200000E+03
  0.1220000E+00  0.1020399E-08  0.5722029E-08  0.7000006E+02  0.0000000E+00  0.2842171E-16  0.1944236E-07 -0.1200000E+03
  0.1240000E+00 -0.6033994E-09 -0.4629220E-07  0.6999996E+02 -0.0000000E+00 -0.7105428E-17 -0.7722932E-08 -0.1200000E+03
  0.1260000E+00  0.8352301E-09  0.1441072E-07  0.7000005E+02  0.0000000E+00  0.2842171E-16  0.2376484E-07 -0.1200000E+03
  0.1280000E+00 -0.5457566E-09 -0.5678680E-07  0.6999997E+02 -0.0000000E+00  0.0000000E+00 -0.1213127E-07 -0.1200000E+03
  0.1300000E+00  0.6080830E-09 -0.2556783E-07  0.7000005E+02  0.0000000E+00  0.0000000E+00  0.4518787E-07 -0.1200000E+03
  0.1320000E+00 -0.6480282E-09 -0.1801868E-07  0.6999997E+02 -0.0000000E+00 -0.1421086E-16 -0.1220592E-07 -0.1200000E+03
  0.1340000E+00  0.5360081E-09 -0.4118118E-07  0.7000005E+02  0.0000000E+00  0.2842171E-16  0.2396786E-07 -0.1200000E+03
  0.1360000E+00 -0.8127533E-09  0.1752528E-07  0.6999996E+02 -0.0000000E+00  0.2842171E-16  0.2427942E-07 -0.1200000E+03
  0.1380000E+00  0.6061094E-09  0.2589724E-07  0.7000005E+02  0.0000000E+00  0.3552714E-17  0.3683383E-08 -0.1200000E+03
  0.1400000E+00 -0.7091647E-09 -0.2232684E-07  0.6999996E+02 -0.0000000E+00  0.2842171E-16  0.2114587E-07 -0.1200000E+03
  0.1420000E+00  0.5168019E-09 -0.1437263E-07  0.7000004E+02  0.0000000E+00 -0.2664541E-17 -0.4474690E-08 -0.1200000E+03
  0.1440000E+00 -0.7666554E-09  0.4168794E-07  0.6999995E+02 -0.0000000E+00  0.5329081E-17  0.4706121E-07 -0.1200000E+03
  0.1460000E+00  0.6835539E-09  0.1374343E-07  0.7000004E+02  0.0000000E+00 -0.1598722E-16 -0.2858595E-07 -0.1200000E+03
  0.1480000E+00 -0.7116820E-09  0.1741256E-07  0.6999995E+02 -0.6938894E-17  0.6750159E-16  0.4109070E-07 -0.1200000E+03
  0.1500000E+00  0.7532043E-09  0.4164224E-07  0.7000003E+02 -0.6938894E-17 -0.3907988E-16 -0.3146588E-07 -0.1200000E+03
  0.1520000E+00 -0.5451135E-09 -0.4129566E-07  0.6999995E+02 -0.6938894E-17  0.6750159E-16  0.6068698E-07 -0.1200000E+03
  0.1540000E+00  0.5880216E-09  0.1769195E-08  0.7000002E+02 -0.3469447E-17 -0.1065816E-16 -0.2949093E-07 -0.1200000E+03
  0.1560000E+00 -0.5380367E-09  0.4040032E-07  0.6999994E+02 -0.3469447E-17  0.0000000E+00  0.3729953E-07 -0.1200000E+03
  0.1580000E+00  0.7496230E-09 -0.5191231E-07  0.7000002E+02 -0.3469447E-17 -0.5684342E-16 -0.4515600E-07 -0.1200000E+03
  0.1600000E+00 -0.7456857E-09 -0.3515959E-07  0.6999992E+02 -0.3469447E-17  0.0000000E+00  0.5222793E-07 -0.1200000E+03
  0.1620000E+00  0.6089852E-09 -0.3428363E-07  0.7000001E+02 -0.3469447E-17  0.0000000E+00 -0.7302183E-07 -0.1200000E+03
  0.1640000E+00 -0.8828202E-09 -0.5467723E-07  0.6999991E+02 -0.3469447E-17  0.5684342E-16  0.4567464E-07 -0.1200000E+03
  0.1660000E+00  0.3902765E-09  0.2588081E-07  0.6999999E+02 -0.6938894E-17 -0.1136868E-15 -0.9076104E-07 -0.1200000E+03
  0.1680000E+00 -0.7792968E-09 -0.3871662E-07  0.6999991E+02 -0.6938894E-17  0.5684342E-16  0.3484872E-07 -0.1200000E+03
