# problem=TPV104
# author=Surendra Nadh Somala
# Date = 01/13/2024; time = 12:20:09
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=1004 m  (w/ 5 GLL nodes)
# time_step=  0.2000000E-02
# location=faultst-045dp075
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
#
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.1311440E-14  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1694008E-21 -0.1200000E+03
  0.1200000E-01  0.5245762E-17  0.1199118E-13  0.7000000E+02  0.0000000E+00  0.6462349E-29  0.5116379E-20 -0.1200000E+03
  0.1400000E-01  0.4796474E-16  0.3479084E-13  0.7000000E+02  0.2465190E-31 -0.3029232E-30  0.2746813E-20 -0.1200000E+03
  0.1600000E-01  0.1444091E-15  0.9088070E-13  0.7000000E+02  0.2465190E-31  0.0000000E+00  0.1148269E-19 -0.1200000E+03
  0.1800000E-01  0.4114875E-15  0.2076544E-12  0.7000000E+02  0.0000000E+00  0.5169879E-28 -0.4740586E-19 -0.1200000E+03
  0.2000000E-01  0.9750266E-15  0.4516791E-12  0.7000000E+02  0.7888609E-30  0.9370404E-28 -0.6554745E-19 -0.1200000E+03
  0.2200000E-01  0.2218204E-14  0.9316518E-12  0.7000000E+02 -0.1577722E-29  0.1938708E-28  0.2457267E-18 -0.1200000E+03
  0.2400000E-01  0.4701634E-14  0.1802473E-11  0.7000000E+02  0.0000000E+00 -0.8465677E-27  0.8620255E-18 -0.1200000E+03
  0.2600000E-01  0.9428095E-14  0.3290838E-11  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.6303879E-17 -0.1200000E+03
  0.2800000E-01  0.1786499E-13  0.5718317E-11  0.7000000E+02  0.1262177E-28  0.4038968E-26  0.6766548E-17 -0.1200000E+03
  0.3000000E-01  0.3230136E-13  0.9473521E-11  0.7000000E+02  0.5048710E-28  0.6152155E-26  0.1293578E-16 -0.1200000E+03
  0.3200000E-01  0.5575907E-13  0.1499977E-10  0.7000000E+02  0.5048710E-28  0.1033970E-27  0.3203390E-18 -0.1200000E+03
  0.3400000E-01  0.9230045E-13  0.2273868E-10  0.7000000E+02  0.5048710E-28  0.3101934E-27 -0.3996697E-17 -0.1200000E+03
  0.3600000E-01  0.1467138E-12  0.3305272E-10  0.7000000E+02  0.2019484E-27 -0.6203867E-27 -0.1268025E-17 -0.1200000E+03
  0.3800000E-01  0.2245113E-12  0.4617485E-10  0.7000000E+02  0.0000000E+00  0.6617445E-26 -0.7346796E-17 -0.1200000E+03
  0.4000000E-01  0.3314131E-12  0.6198710E-10  0.7000000E+02  0.0000000E+00 -0.6617445E-26  0.6819960E-17 -0.1200000E+03
  0.4200000E-01  0.4724597E-12  0.7981182E-10  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.5788118E-17 -0.1200000E+03
  0.4400000E-01  0.6506604E-12  0.9819363E-10  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2363992E-16 -0.1200000E+03
  0.4600000E-01  0.8652343E-12  0.1999950E-09  0.7000000E+02  0.0000000E+00 -0.1058791E-24  0.8966824E-16 -0.1200000E+03
  0.4800000E-01  0.1450640E-11  0.3371454E-09  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2497946E-17 -0.1200000E+03
  0.5000000E-01  0.2213816E-11  0.4931686E-09  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1580806E-15 -0.1200000E+03
  0.5200000E-01  0.3423315E-11  0.7338172E-09  0.7000000E+02  0.0000000E+00 -0.2117582E-24  0.2142007E-15 -0.1200000E+03
  0.5400000E-01  0.5149085E-11  0.9902935E-09  0.7000000E+02  0.0000000E+00  0.4235165E-24  0.3342282E-15 -0.1200000E+03
  0.5600000E-01  0.7384489E-11  0.1310037E-08  0.7000000E+02  0.0000000E+00 -0.2977856E-25  0.1804980E-15 -0.1200000E+03
  0.5800000E-01  0.1038923E-10  0.1604524E-08  0.7000000E+02 -0.3231174E-26  0.6617485E-26 -0.1179936E-16 -0.1200000E+03
  0.6000000E-01  0.1380259E-10  0.1900675E-08  0.7000000E+02  0.1615587E-26  0.1720535E-24  0.1160231E-15 -0.1200000E+03
  0.6200000E-01  0.1799193E-10  0.2176044E-08  0.7000000E+02 -0.6462349E-26 -0.1720535E-24  0.1934684E-15 -0.1200000E+03
  0.6400000E-01  0.2250676E-10  0.2394294E-08  0.7000000E+02 -0.1292470E-25 -0.3970475E-25  0.3184617E-15 -0.1200000E+03
  0.6600000E-01  0.2756911E-10  0.2591612E-08  0.7000000E+02 -0.1292470E-25 -0.8073282E-24  0.8331671E-15 -0.1200000E+03
  0.6800000E-01  0.3287321E-10  0.2660587E-08  0.7000000E+02  0.0000000E+00 -0.9065901E-24  0.9900227E-15 -0.1200000E+03
  0.7000000E-01  0.3821146E-10  0.2602182E-08  0.7000000E+02  0.0000000E+00  0.1274944E-23  0.1044701E-14 -0.1200000E+03
  0.7200000E-01  0.4328194E-10  0.2361941E-08  0.7000000E+02  0.0000000E+00 -0.1588190E-24  0.1004553E-14 -0.1200000E+03
  0.7400000E-01  0.4765922E-10  0.1867158E-08  0.7000000E+02 -0.1292470E-25  0.1588190E-24  0.5777372E-15 -0.1200000E+03
  0.7600001E-01  0.5075057E-10  0.1029230E-08  0.7000000E+02  0.8077936E-27  0.2646975E-24  0.3023050E-15 -0.1200000E+03
  0.7800000E-01  0.5177615E-10 -0.1663834E-09  0.7000000E+02 -0.1292470E-25  0.1588190E-24 -0.4166745E-15 -0.1200000E+03
  0.8000001E-01  0.5008504E-10 -0.1785778E-08  0.7000000E+02  0.1292470E-25 -0.1588190E-24 -0.3597399E-15 -0.1200000E+03
  0.8200000E-01  0.4463304E-10 -0.3907295E-08  0.7000000E+02  0.0000000E+00  0.1005852E-23 -0.8977494E-15 -0.1200000E+03
  0.8400001E-01  0.3445585E-10 -0.6617030E-08  0.7000000E+02  0.1292470E-25  0.7477711E-24 -0.1542077E-14 -0.1200000E+03
  0.8600000E-01  0.1816491E-10 -0.1000304E-07  0.7000000E+02 -0.1292470E-25  0.2306180E-23 -0.2390785E-14 -0.1200000E+03
  0.8800001E-01 -0.5556325E-11 -0.1406203E-07  0.7000000E+02 -0.1292470E-25  0.3308722E-23 -0.3927934E-14 -0.1200000E+03
  0.9000000E-01 -0.3808320E-10 -0.1882200E-07  0.7000000E+02 -0.3715850E-25 -0.3149903E-23 -0.4845260E-14 -0.1200000E+03
  0.9200001E-01 -0.8084431E-10 -0.2430048E-07  0.7000000E+02 -0.5169879E-25  0.3176380E-24 -0.5953094E-14 -0.1200000E+03
  0.9400000E-01 -0.1352851E-09 -0.3058482E-07  0.7000000E+02 -0.5169879E-25 -0.3176380E-24 -0.7581610E-14 -0.1200000E+03
  0.9600000E-01 -0.2031836E-09 -0.3760953E-07  0.7000000E+02 -0.1550964E-24  0.9529140E-24 -0.9701477E-14 -0.1200000E+03
  0.9800000E-01 -0.2857233E-09 -0.4578454E-07  0.7000000E+02 -0.2067952E-24  0.1418780E-22 -0.1200803E-13 -0.1200000E+03
  0.1000000E+00 -0.3863218E-09 -0.5479863E-07  0.7000000E+02 -0.0000000E+00 -0.6352760E-24 -0.1521105E-13 -0.1200000E+03
  0.1020000E+00 -0.5049178E-09  0.5543536E-07  0.6999999E+02 -0.0000000E+00  0.6352760E-24 -0.1758987E-13 -0.1200000E+03
  0.1040000E+00 -0.1645804E-09  0.4297150E-07  0.7000001E+02 -0.2067952E-24  0.2774033E-22 -0.1858861E-13 -0.1200000E+03
  0.1060000E+00 -0.3330317E-09  0.2848860E-07  0.6999999E+02 -0.0000000E+00  0.2646978E-22 -0.2065016E-13 -0.1200000E+03
  0.1080000E+00 -0.5062602E-10  0.1257168E-07  0.7000001E+02 -0.0000000E+00 -0.2583450E-22 -0.2216912E-13 -0.1200000E+03
  0.1100000E+00 -0.2827449E-09 -0.4468843E-08  0.6999999E+02 -0.0000000E+00  0.1270552E-23 -0.2052465E-13 -0.1200000E+03
  0.1120000E+00 -0.6850143E-10 -0.2300561E-07  0.7000001E+02  0.0000000E+00  0.2710506E-22 -0.1865199E-13 -0.1200000E+03
  0.1140000E+00 -0.3747673E-09 -0.4216515E-07  0.6999999E+02  0.0000000E+00  0.0000000E+00 -0.1523006E-13 -0.1200000E+03
  0.1160000E+00 -0.2371621E-09  0.5825407E-07  0.7000000E+02 -0.9047288E-25  0.2541104E-23 -0.1051690E-13 -0.1200000E+03
  0.1180000E+00 -0.1417511E-09  0.3654668E-07  0.7000000E+02  0.0000000E+00 -0.2541104E-23 -0.4198405E-14 -0.1200000E+03
  0.1200000E+00 -0.9097535E-10  0.1448786E-07  0.7000000E+02  0.0000000E+00 -0.1694056E-23  0.4160504E-14 -0.1200000E+03
  0.1220000E+00 -0.8379961E-10 -0.7483815E-08  0.7000000E+02  0.0000000E+00 -0.1863474E-22  0.1458538E-13 -0.1200000E+03
  0.1240000E+00 -0.1209106E-09 -0.2870831E-07  0.7000000E+02 -0.1654361E-23  0.5082208E-23  0.2454768E-13 -0.1200000E+03
  0.1260000E+00 -0.1986329E-09 -0.4808621E-07  0.7000000E+02  0.0000000E+00 -0.1016442E-22  0.3187447E-13 -0.1200000E+03
  0.1280000E+00 -0.3132555E-09  0.5488468E-07  0.6999999E+02 -0.3308722E-23  0.1016442E-22  0.3736076E-13 -0.1200000E+03
  0.1300000E+00  0.2090585E-10  0.3870498E-07  0.7000001E+02 -0.3308722E-23  0.4404570E-22  0.4500618E-13 -0.1200000E+03
  0.1320000E+00 -0.1584355E-09  0.2542364E-07  0.6999999E+02  0.0000000E+00 -0.1016442E-22  0.5306845E-13 -0.1200000E+03
  0.1340000E+00  0.1226004E-09  0.1555357E-07  0.7000001E+02  0.0000000E+00  0.1016442E-22  0.5397273E-13 -0.1200000E+03
  0.1360000E+00 -0.9622123E-10  0.9691504E-08  0.6999999E+02  0.6617445E-23 -0.1016442E-22  0.5848990E-13 -0.1200000E+03
  0.1380000E+00  0.1613663E-09  0.8814252E-08  0.7000001E+02  0.6617445E-23  0.1016442E-22  0.5359678E-13 -0.1200000E+03
  0.1400000E+00 -0.6096418E-10  0.1319427E-07  0.6999999E+02  0.6617445E-23  0.4404570E-22  0.5325831E-13 -0.1200000E+03
  0.1420000E+00  0.2141434E-09  0.2376439E-07  0.7000001E+02  0.6617445E-23  0.8893864E-23  0.5303449E-13 -0.1200000E+03
  0.1440000E+00  0.3409338E-10  0.4091645E-07  0.6999999E+02  0.6617445E-23 -0.1016442E-22  0.4960334E-13 -0.1200000E+03
  0.1460000E+00  0.3778092E-09 -0.5504881E-07  0.7000002E+02  0.6617445E-23  0.1016442E-22  0.4966035E-13 -0.1200000E+03
  0.1480000E+00 -0.1861018E-09 -0.2150196E-07  0.6999998E+02  0.6617445E-23  0.0000000E+00  0.3687600E-13 -0.1200000E+03
  0.1500000E+00  0.2918012E-09  0.2047723E-07  0.7000002E+02  0.6617445E-23 -0.2710506E-22  0.2642575E-13 -0.1200000E+03
  0.1520000E+00 -0.1041929E-09 -0.4964599E-07  0.6999999E+02  0.6617445E-23 -0.5421011E-22  0.4463406E-13 -0.1200000E+03
  0.1540000E+00  0.9321727E-10  0.1064679E-07  0.7000001E+02  0.6617445E-23  0.0000000E+00  0.2846632E-13 -0.1200000E+03
  0.1560000E+00 -0.6160573E-10 -0.4097288E-07  0.7000000E+02  0.6617445E-23 -0.2710489E-22  0.2588518E-13 -0.1200000E+03
  0.1580000E+00 -0.7067426E-10  0.3738239E-07  0.7000000E+02  0.1985233E-22 -0.2710522E-22  0.3712471E-13 -0.1200000E+03
  0.1600000E+00  0.8792382E-10  0.3276144E-08  0.7000001E+02  0.1323489E-22 -0.2710489E-22  0.5794769E-13 -0.1200000E+03
  0.1620000E+00 -0.5756967E-10 -0.2234949E-07  0.7000000E+02  0.1323489E-22  0.2710489E-22  0.5556722E-13 -0.1200000E+03
  0.1640000E+00 -0.1474140E-11 -0.3979702E-07  0.7000001E+02  0.2646978E-22 -0.1355251E-21  0.7324978E-13 -0.1200000E+03
  0.1660000E+00 -0.2167577E-09 -0.4982408E-07  0.7000000E+02  0.5293956E-22  0.2710489E-22  0.7835204E-13 -0.1200000E+03
  0.1680000E+00 -0.2007705E-09 -0.5310073E-07  0.7000001E+02  0.5293956E-22  0.8131533E-22  0.1241767E-12 -0.1200000E+03
  0.1700000E+00 -0.4291607E-09 -0.5061911E-07  0.7000000E+02  0.5293956E-22 -0.8131533E-22  0.1701878E-12 -0.1200000E+03
