# problem=TPV104
# author=Surendra Nadh Somala
# Date = 01/13/2024; time = 12:20:09
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=1004 m  (w/ 5 GLL nodes)
# time_step=  0.2000000E-02
# location=faultst-120dp000
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress
#
  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.4000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.6000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.8000000E-02  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1000000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1200000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1400000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1600000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.1800000E-01  0.0000000E+00  0.0000000E+00  0.7000000E+02  0.0000000E+00 -0.0000000E+00  0.0000000E+00 -0.1200000E+03
  0.2000000E-01  0.0000000E+00 -0.1401298E-44  0.7000000E+02  0.0000000E+00 -0.0000000E+00 -0.1038362E-41 -0.1200000E+03
  0.2200000E-01  0.0000000E+00  0.1401298E-44  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.6925217E-41 -0.1200000E+03
  0.2400000E-01  0.0000000E+00  0.6586103E-43  0.7000000E+02  0.0000000E+00 -0.0000000E+00 -0.7029474E-40 -0.1200000E+03
  0.2600000E-01  0.0000000E+00  0.1206518E-41  0.7000000E+02  0.0000000E+00 -0.0000000E+00 -0.4543178E-39 -0.1200000E+03
  0.2800000E-01  0.0000000E+00  0.1177091E-42  0.7000000E+02  0.0000000E+00 -0.0000000E+00 -0.3396647E-38 -0.1200000E+03
  0.3000000E-01  0.0000000E+00 -0.3792334E-40  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.5267589E-38 -0.1200000E+03
  0.3200000E-01  0.0000000E+00  0.1307425E-39  0.7000000E+02  0.0000000E+00 -0.0000000E+00 -0.9055876E-38 -0.1200000E+03
  0.3400000E-01  0.0000000E+00 -0.7211376E-39  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.7295638E-37 -0.1200000E+03
  0.3600000E-01  0.0000000E+00  0.1410731E-38  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.4904862E-37 -0.1200000E+03
  0.3800000E-01  0.0000000E+00  0.1165198E-38  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.6593881E-36 -0.1200000E+03
  0.4000000E-01  0.0000000E+00 -0.6973102E-38  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1244712E-35 -0.1200000E+03
  0.4200000E-01  0.0000000E+00 -0.1329631E-37  0.7000000E+02  0.0000000E+00 -0.1401298E-44  0.4104152E-36 -0.1200000E+03
  0.4400000E-01  0.0000000E+00  0.9143854E-38  0.7000000E+02  0.0000000E+00 -0.1401298E-44 -0.1797135E-35 -0.1200000E+03
  0.4600000E-01  0.0000000E+00 -0.2430193E-37  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1690737E-34 -0.1200000E+03
  0.4800000E-01  0.0000000E+00  0.1097842E-36  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.7243106E-35 -0.1200000E+03
  0.5000000E-01  0.0000000E+00  0.6251977E-37  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.7330109E-34 -0.1200000E+03
  0.5200000E-01  0.0000000E+00  0.2170119E-37  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1248966E-33 -0.1200000E+03
  0.5400000E-01  0.0000000E+00 -0.2249804E-37  0.7000000E+02  0.0000000E+00  0.9248570E-43  0.3233368E-33 -0.1200000E+03
  0.5600000E-01  0.0000000E+00  0.1095902E-35  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.6905449E-33 -0.1200000E+03
  0.5800000E-01  0.0000000E+00  0.5148320E-36  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1466148E-33 -0.1200000E+03
  0.6000000E-01  0.0000000E+00  0.1884553E-35  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.6109909E-33 -0.1200000E+03
  0.6200000E-01  0.0000000E+00  0.1106756E-34  0.7000000E+02  0.0000000E+00  0.3671402E-42  0.1072295E-32 -0.1200000E+03
  0.6400000E-01  0.0000000E+00  0.4036616E-35  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.4735106E-34 -0.1200000E+03
  0.6600000E-01  0.0000000E+00  0.2051091E-35  0.7000000E+02  0.0000000E+00  0.1469962E-41  0.4895823E-32 -0.1200000E+03
  0.6800000E-01  0.0000000E+00  0.1857818E-34  0.7000000E+02  0.0000000E+00  0.2938523E-41  0.1070582E-31 -0.1200000E+03
  0.7000000E-01  0.0000000E+00 -0.3697741E-34  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1024325E-31 -0.1200000E+03
  0.7200000E-01  0.0000000E+00  0.3448240E-34  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.8835712E-32 -0.1200000E+03
  0.7400000E-01  0.0000000E+00  0.2400938E-34  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2256147E-31 -0.1200000E+03
  0.7600001E-01  0.0000000E+00 -0.4396754E-34  0.7000000E+02  0.0000000E+00  0.1175549E-40  0.3737918E-31 -0.1200000E+03
  0.7800000E-01  0.0000000E+00  0.6229180E-34  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.2559970E-31 -0.1200000E+03
  0.8000001E-01  0.0000000E+00  0.2527567E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.4021528E-31 -0.1200000E+03
  0.8200000E-01  0.0000000E+00 -0.1999625E-33  0.7000000E+02  0.0000000E+00 -0.5877046E-41  0.1485610E-31 -0.1200000E+03
  0.8400001E-01  0.0000000E+00 -0.1663669E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.6137660E-31 -0.1200000E+03
  0.8600000E-01  0.0000000E+00 -0.3588166E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1879727E-30 -0.1200000E+03
  0.8800001E-01  0.0000000E+00 -0.1930760E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.3472978E-30 -0.1200000E+03
  0.9000000E-01  0.0000000E+00  0.1327070E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1517881E-30 -0.1200000E+03
  0.9200001E-01  0.0000000E+00  0.1366568E-32  0.7000000E+02  0.0000000E+00  0.4701917E-40  0.1301645E-30 -0.1200000E+03
  0.9400000E-01  0.0000000E+00 -0.1298671E-32  0.7000000E+02  0.0000000E+00 -0.1880795E-39 -0.6599143E-30 -0.1200000E+03
  0.9600000E-01  0.0000000E+00 -0.2927648E-32  0.7000000E+02  0.0000000E+00  0.1175549E-40  0.3987479E-31 -0.1200000E+03
  0.9800000E-01  0.0000000E+00  0.1961662E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1921876E-30 -0.1200000E+03
  0.1000000E+00  0.0000000E+00 -0.2541969E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.6153518E-31 -0.1200000E+03
  0.1020000E+00  0.0000000E+00 -0.3019257E-32  0.7000000E+02  0.0000000E+00  0.3761576E-39  0.8485295E-30 -0.1200000E+03
  0.1040000E+00  0.0000000E+00 -0.1441655E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.8640238E-30 -0.1200000E+03
  0.1060000E+00  0.0000000E+00  0.4727099E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1469542E-29 -0.1200000E+03
  0.1080000E+00  0.0000000E+00 -0.1154439E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.9776798E-30 -0.1200000E+03
  0.1100000E+00  0.0000000E+00 -0.2514530E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.5014429E-30 -0.1200000E+03
  0.1120000E+00  0.0000000E+00  0.1563518E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.5062259E-30 -0.1200000E+03
  0.1140000E+00  0.0000000E+00 -0.5347224E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1452513E-30 -0.1200000E+03
  0.1160000E+00  0.0000000E+00 -0.9938570E-32  0.7000000E+02  0.0000000E+00 -0.4701917E-40 -0.1508433E-30 -0.1200000E+03
  0.1180000E+00  0.0000000E+00  0.7513775E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1657159E-30 -0.1200000E+03
  0.1200000E+00  0.0000000E+00  0.1121541E-31  0.7000000E+02  0.0000000E+00  0.1880795E-39  0.6133439E-30 -0.1200000E+03
  0.1220000E+00  0.0000000E+00 -0.6931904E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1224998E-29 -0.1200000E+03
  0.1240000E+00  0.0000000E+00  0.7649986E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.2952618E-29 -0.1200000E+03
  0.1260000E+00  0.0000000E+00 -0.9083168E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2503110E-30 -0.1200000E+03
  0.1280000E+00  0.0000000E+00  0.1219114E-33  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.5557575E-30 -0.1200000E+03
  0.1300000E+00  0.0000000E+00  0.6215939E-33  0.7000000E+02  0.0000000E+00  0.7523165E-39  0.1909516E-29 -0.1200000E+03
  0.1320000E+00  0.0000000E+00 -0.4479713E-32  0.7000000E+02  0.0000000E+00  0.3761576E-39  0.9013955E-30 -0.1200000E+03
  0.1340000E+00  0.0000000E+00 -0.4657708E-31  0.7000000E+02  0.0000000E+00 -0.9403974E-40 -0.1972695E-30 -0.1200000E+03
  0.1360000E+00  0.0000000E+00 -0.8038543E-32  0.7000000E+02  0.0000000E+00 -0.3761576E-39 -0.9841582E-30 -0.1200000E+03
  0.1380000E+00  0.0000000E+00 -0.7978840E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.3538049E-29 -0.1200000E+03
  0.1400000E+00  0.0000000E+00  0.7805476E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.9877943E-29 -0.1200000E+03
  0.1420000E+00  0.0000000E+00  0.1678949E-31  0.7000000E+02  0.0000000E+00  0.3009266E-38  0.1116931E-28 -0.1200000E+03
  0.1440000E+00  0.0000000E+00  0.2974088E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.7281125E-29 -0.1200000E+03
  0.1460000E+00  0.0000000E+00 -0.4742632E-31  0.7000000E+02  0.0000000E+00 -0.1203706E-37 -0.3260691E-28 -0.1200000E+03
  0.1480000E+00  0.0000000E+00  0.1780258E-30  0.7000000E+02  0.0000000E+00  0.1203706E-37 -0.3353477E-28 -0.1200000E+03
  0.1500000E+00  0.0000000E+00 -0.1988804E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.3956460E-28 -0.1200000E+03
  0.1520000E+00  0.0000000E+00  0.4656697E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.9213785E-28 -0.1200000E+03
  0.1540000E+00  0.0000000E+00 -0.5128951E-30  0.7000000E+02  0.0000000E+00  0.1504633E-38  0.5980526E-29 -0.1200000E+03
  0.1560000E+00  0.0000000E+00 -0.1931635E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.4245792E-29 -0.1200000E+03
  0.1580000E+00  0.0000000E+00  0.6542384E-32  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.4206316E-28 -0.1200000E+03
  0.1600000E+00  0.0000000E+00 -0.1799719E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.2259128E-29 -0.1200000E+03
  0.1620000E+00  0.0000000E+00 -0.2539693E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.1481430E-28 -0.1200000E+03
  0.1640000E+00  0.0000000E+00 -0.3682359E-31  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.1529955E-28 -0.1200000E+03
  0.1660000E+00  0.0000000E+00 -0.1678975E-30  0.7000000E+02  0.0000000E+00 -0.1203706E-37 -0.3174378E-28 -0.1200000E+03
  0.1680000E+00  0.0000000E+00 -0.6425869E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.9848379E-28 -0.1200000E+03
  0.1700000E+00  0.0000000E+00  0.1208087E-29  0.7000000E+02  0.0000000E+00  0.0000000E+00  0.2106890E-27 -0.1200000E+03
  0.1720000E+00  0.0000000E+00 -0.3850412E-30  0.7000000E+02  0.0000000E+00  0.0000000E+00 -0.2747522E-27 -0.1200000E+03
