# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst000dp030
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.8500000E-01  0.8119107E-06  0.9562899E-05  0.7500191E+02 -0.8023652E-22  0.5098874E-20  0.3994653E-13 -0.1200000E+03  0.9205792E+01
  0.8750000E-01  0.8116509E-06  0.9566982E-05  0.7499804E+02  0.3184645E-22  0.3009351E-20  0.2356056E-13 -0.1200000E+03  0.9205792E+01
  0.9000000E-01  0.8597456E-06  0.9564656E-05  0.7500191E+02 -0.6503708E-22  0.1416398E-20  0.1115988E-13 -0.1200000E+03  0.9205791E+01
  0.9250000E-01  0.8594741E-06  0.9555966E-05  0.7499804E+02  0.3908428E-22  0.5096757E-20  0.4005386E-13 -0.1200000E+03  0.9205791E+01
  0.9500000E-01  0.9075254E-06  0.9540961E-05  0.7500191E+02 -0.3949787E-22  0.5113960E-20  0.4003403E-13 -0.1200000E+03  0.9205791E+01
  0.9750000E-01  0.9071790E-06  0.9559650E-05  0.7499803E+02  0.6452009E-22 -0.5007286E-20 -0.3946341E-13 -0.1200000E+03  0.9205791E+01
  0.9999999E-01  0.9553237E-06  0.9532152E-05  0.7500192E+02 -0.6472688E-22  0.2246490E-20  0.1764813E-13 -0.1200000E+03  0.9205790E+01
  0.1025000E+00  0.9548397E-06  0.9538448E-05  0.7499802E+02  0.7589382E-22  0.2170952E-20  0.1707027E-13 -0.1200000E+03  0.9205790E+01
  0.1050000E+00  0.1003016E-05  0.9538619E-05  0.7500192E+02 -0.5355994E-22  0.2160198E-20  0.1703251E-13 -0.1200000E+03  0.9205789E+01
  0.1075000E+00  0.1002533E-05  0.9532719E-05  0.7499802E+02  0.8664717E-22  0.1299404E-20  0.1018154E-13 -0.1200000E+03  0.9205788E+01
  0.1100000E+00  0.1050680E-05  0.9560743E-05  0.7500191E+02 -0.4725269E-22  0.1016175E-19  0.7967895E-13 -0.1200000E+03  0.9205788E+01
  0.1125000E+00  0.1050337E-05  0.9542820E-05  0.7499803E+02  0.1375188E-21 -0.8610621E-20 -0.6814686E-13 -0.1200000E+03  0.9205787E+01
  0.1150000E+00  0.1098394E-05  0.9558917E-05  0.7500191E+02 -0.9047288E-22  0.3560715E-20  0.2808164E-13 -0.1200000E+03  0.9205787E+01
  0.1175000E+00  0.1098131E-05  0.9529177E-05  0.7499804E+02  0.1555100E-21  0.4408808E-20  0.3463165E-13 -0.1200000E+03  0.9205786E+01
  0.1200000E+00  0.1146040E-05  0.9533570E-05  0.7500190E+02 -0.6741522E-22 -0.8627035E-20 -0.6790736E-13 -0.1200000E+03  0.9205786E+01
  0.1225000E+00  0.1145799E-05  0.9532197E-05  0.7499804E+02  0.1129102E-21  0.1444191E-19  0.1137861E-12 -0.1200000E+03  0.9205785E+01
  0.1250000E+00  0.1193701E-05  0.9565062E-05  0.7500188E+02  0.4963084E-23  0.2295459E-20  0.1808501E-13 -0.1200000E+03  0.9205785E+01
  0.1275000E+00  0.1193624E-05  0.9552289E-05  0.7499805E+02  0.1240771E-21 -0.2117582E-20 -0.1670015E-13 -0.1200000E+03  0.9205784E+01
  0.1300000E+00  0.1241462E-05  0.9533900E-05  0.7500188E+02 -0.5790264E-23 -0.1014745E-19 -0.7949001E-13 -0.1200000E+03  0.9205784E+01
  0.1325000E+00  0.1241294E-05  0.9549918E-05  0.7499804E+02  0.7444626E-22  0.4269047E-20  0.3353486E-13 -0.1200000E+03  0.9205783E+01
  0.1350000E+00  0.1289212E-05  0.9560433E-05  0.7500188E+02  0.1488925E-22 -0.1007969E-19 -0.7951549E-13 -0.1200000E+03  0.9205782E+01
  0.1375000E+00  0.1289096E-05  0.9565493E-05  0.7499804E+02  0.2316106E-22  0.1273890E-23  0.1000892E-16 -0.1200000E+03  0.9205782E+01
  0.1400000E+00  0.1337039E-05  0.9565157E-05  0.7500188E+02  0.1654361E-22 -0.1733029E-19 -0.1359993E-12 -0.1200000E+03  0.9205781E+01
  0.1425000E+00  0.1336922E-05  0.9559483E-05  0.7499804E+02 -0.6286573E-22 -0.7348013E-21 -0.5769474E-14 -0.1200000E+03  0.9205781E+01
  0.1450000E+00  0.1384836E-05  0.9548538E-05  0.7500188E+02  0.1323489E-22 -0.3642241E-20 -0.2868447E-13 -0.1200000E+03  0.9205780E+01
  0.1475000E+00  0.1384665E-05  0.9532394E-05  0.7499804E+02 -0.8271806E-22 -0.1007969E-19 -0.7916113E-13 -0.1200000E+03  0.9205780E+01
  0.1500000E+00  0.1432498E-05  0.9551070E-05  0.7500188E+02 -0.3970467E-22  0.1520424E-20  0.1196449E-13 -0.1200000E+03  0.9205779E+01
  0.1525000E+00  0.1432420E-05  0.9564666E-05  0.7499804E+02 -0.7610062E-22 -0.2100642E-20 -0.1652792E-13 -0.1200000E+03  0.9205779E+01
  0.1550000E+00  0.1480322E-05  0.9533281E-05  0.7500188E+02 -0.5955700E-22 -0.1646632E-19 -0.1294266E-12 -0.1200000E+03  0.9205778E+01
  0.1575000E+00  0.1480086E-05  0.9536909E-05  0.7499803E+02 -0.1720536E-21 -0.9249601E-20 -0.7283361E-13 -0.1200000E+03  0.9205778E+01
  0.1600000E+00  0.1528006E-05  0.9535655E-05  0.7500188E+02 -0.1191140E-21  0.9520650E-20  0.7478457E-13 -0.1200000E+03  0.9205777E+01
  0.1625000E+00  0.1527765E-05  0.9529592E-05  0.7499803E+02 -0.1389663E-21 -0.2049820E-20 -0.1610607E-13 -0.1200000E+03  0.9205777E+01
  0.1650000E+00  0.1575654E-05  0.9558735E-05  0.7500188E+02 -0.1323489E-21  0.1600892E-20  0.1261175E-13 -0.1200000E+03  0.9205776E+01
  0.1675000E+00  0.1575558E-05  0.9543228E-05  0.7499804E+02 -0.1257315E-21  0.2380163E-20  0.1866489E-13 -0.1200000E+03  0.9205775E+01
  0.1700000E+00  0.1623371E-05  0.9563054E-05  0.7500187E+02 -0.1257315E-21 -0.2786738E-20 -0.2188706E-13 -0.1200000E+03  0.9205775E+01
  0.1725000E+00  0.1623374E-05  0.9538357E-05  0.7499805E+02 -0.1455838E-21 -0.9910285E-20 -0.7822532E-13 -0.1200000E+03  0.9205774E+01
  0.1750000E+00  0.1671062E-05  0.9549133E-05  0.7500186E+02 -0.1720536E-21  0.2447925E-20  0.1923659E-13 -0.1200000E+03  0.9205774E+01
  0.1775000E+00  0.1671119E-05  0.9555488E-05  0.7499805E+02 -0.1323489E-21  0.1113001E-19  0.8760616E-13 -0.1200000E+03  0.9205773E+01
  0.1800000E+00  0.1718840E-05  0.9557483E-05  0.7500186E+02 -0.1191140E-21 -0.1197705E-19 -0.9403313E-13 -0.1200000E+03  0.9205773E+01
  0.1825000E+00  0.1718907E-05  0.9555193E-05  0.7499805E+02 -0.1852885E-21 -0.1766911E-19 -0.1389635E-12 -0.1200000E+03  0.9205772E+01
  0.1850000E+00  0.1766616E-05  0.9548683E-05  0.7500186E+02 -0.1852885E-21 -0.3913292E-20 -0.3067295E-13 -0.1200000E+03  0.9205772E+01
  0.1875000E+00  0.1766650E-05  0.9538034E-05  0.7499805E+02 -0.1852885E-21 -0.5302426E-20 -0.4158013E-13 -0.1200000E+03  0.9205771E+01
  0.1900000E+00  0.1814306E-05  0.9563272E-05  0.7500185E+02 -0.1985233E-21  0.1351017E-20  0.1062429E-13 -0.1200000E+03  0.9205771E+01
  0.1925000E+00  0.1814466E-05  0.9544548E-05  0.7499805E+02 -0.1720536E-21  0.1991857E-22  0.1570931E-15 -0.1200000E+03  0.9205770E+01
  0.1950000E+00  0.1862029E-05  0.9561850E-05  0.7500185E+02 -0.1985233E-21 -0.1875331E-19 -0.1475606E-12 -0.1200000E+03  0.9205770E+01
  0.1975000E+00  0.1862276E-05  0.9535333E-05  0.7499806E+02 -0.2514629E-21 -0.1279020E-20 -0.1003626E-13 -0.1200000E+03  0.9205770E+01
  0.2000000E+00  0.1909705E-05  0.9544995E-05  0.7500184E+02 -0.1985233E-21 -0.3049319E-19 -0.2404249E-12 -0.1200000E+03  0.9205769E+01
  0.2025000E+00  0.1910001E-05  0.9550950E-05  0.7499806E+02 -0.4235165E-21 -0.4082699E-20 -0.3202440E-13 -0.1200000E+03  0.9205769E+01
  0.2050000E+00  0.1957460E-05  0.9553260E-05  0.7500184E+02 -0.2249931E-21  0.1057044E-19  0.8335391E-13 -0.1200000E+03  0.9205768E+01
  0.2075000E+00  0.1957767E-05  0.9552005E-05  0.7499806E+02 -0.3705769E-21  0.4139871E-20  0.3246724E-13 -0.1200000E+03  0.9205768E+01
  0.2100000E+00  0.2005220E-05  0.9547252E-05  0.7500184E+02 -0.2249931E-21  0.5227887E-19  0.4129057E-12 -0.1200000E+03  0.9205767E+01
  0.2125000E+00  0.2005503E-05  0.9539087E-05  0.7499806E+02 -0.1191140E-21  0.5418470E-19  0.4269349E-12 -0.1200000E+03  0.9205767E+01
  0.2150000E+00  0.2052915E-05  0.9567534E-05  0.7500183E+02  0.3970467E-22  0.8718510E-19  0.6845233E-12 -0.1200000E+03  0.9205766E+01
  0.2175000E+00  0.2053340E-05  0.9552747E-05  0.7499807E+02  0.3044025E-21  0.4672234E-19  0.3682646E-12 -0.1200000E+03  0.9205766E+01
  0.2200000E+00  0.2100679E-05  0.9534760E-05  0.7500183E+02  0.2382280E-21  0.6830474E-19  0.5343802E-12 -0.1200000E+03  0.9205765E+01
  0.2225000E+00  0.2101014E-05  0.9553620E-05  0.7499806E+02  0.6352747E-21  0.9737491E-19  0.7633751E-12 -0.1200000E+03  0.9205764E+01
  0.2250000E+00  0.2148447E-05  0.9529477E-05  0.7500184E+02  0.7411538E-21  0.7253990E-19  0.5694666E-12 -0.1200000E+03  0.9205764E+01
  0.2275000E+00  0.2148662E-05  0.9542333E-05  0.7499805E+02  0.1005852E-20  0.3994608E-19  0.3138541E-12 -0.1200000E+03  0.9205763E+01
  0.2300000E+00  0.2196158E-05  0.9552296E-05  0.7500184E+02  0.9529121E-21  0.1054725E-18  0.8284858E-12 -0.1200000E+03  0.9205763E+01
  0.2325000E+00  0.2196423E-05  0.9559433E-05  0.7499805E+02  0.1508777E-20  0.7135406E-19  0.5619082E-12 -0.1200000E+03  0.9205762E+01
  0.2350000E+00  0.2243956E-05  0.9563817E-05  0.7500184E+02  0.1297019E-20  0.3882799E-19  0.3060997E-12 -0.1200000E+03  0.9205762E+01
  0.2375000E+00  0.2244242E-05  0.9565520E-05  0.7499805E+02  0.1694066E-20  0.7474219E-19  0.5882348E-12 -0.1200000E+03  0.9205761E+01
  0.2400000E+00  0.2291783E-05  0.9564616E-05  0.7500184E+02  0.1588187E-20  0.9683280E-19  0.7635132E-12 -0.1200000E+03  0.9205761E+01
  0.2425000E+00  0.2292065E-05  0.9561179E-05  0.7499805E+02  0.2117582E-20  0.5685286E-19  0.4470040E-12 -0.1200000E+03  0.9205760E+01
  0.2450000E+00  0.2339589E-05  0.9555291E-05  0.7500184E+02  0.1905824E-20  0.7555534E-19  0.5957444E-12 -0.1200000E+03  0.9205760E+01
  0.2475000E+00  0.2339842E-05  0.9547033E-05  0.7499805E+02  0.2488159E-20  0.5278710E-19  0.4156195E-12 -0.1200000E+03  0.9205759E+01
  0.2500000E+00  0.2387324E-05  0.9536485E-05  0.7500184E+02  0.2170522E-20  0.5875021E-19  0.4597129E-12 -0.1200000E+03  0.9205758E+01
  0.2525000E+00  0.2387524E-05  0.9563681E-05  0.7499805E+02  0.2805797E-20  0.6471332E-19  0.5094313E-12 -0.1200000E+03  0.9205758E+01
  0.2550000E+00  0.2435143E-05  0.9548769E-05  0.7500185E+02  0.2488159E-20  0.5658179E-19  0.4457406E-12 -0.1200000E+03  0.9205757E+01
  0.2575000E+00  0.2435268E-05  0.9531790E-05  0.7499805E+02  0.3070494E-20  0.3205174E-19  0.2519818E-12 -0.1200000E+03  0.9205757E+01
  0.2600000E+00  0.2482802E-05  0.9552786E-05  0.7500184E+02  0.2646978E-20  0.3028989E-19  0.2389963E-12 -0.1200000E+03  0.9205756E+01
  0.2625000E+00  0.2483032E-05  0.9531910E-05  0.7499805E+02  0.3282253E-20  0.6444227E-19  0.5074281E-12 -0.1200000E+03  0.9205756E+01
  0.2650000E+00  0.2530461E-05  0.9549157E-05  0.7500183E+02  0.2964615E-20  0.5969888E-19  0.4708847E-12 -0.1200000E+03  0.9205755E+01
  0.2675000E+00  0.2530778E-05  0.9564636E-05  0.7499805E+02  0.3599890E-20  0.7087972E-19  0.5574158E-12 -0.1200000E+03  0.9205755E+01
  0.2700000E+00  0.2578284E-05  0.9538456E-05  0.7500184E+02  0.3388132E-20  0.4770489E-19  0.3757180E-12 -0.1200000E+03  0.9205754E+01
  0.2725000E+00  0.2578470E-05  0.9550623E-05  0.7499805E+02  0.3811648E-20  0.5773377E-19  0.4534422E-12 -0.1200000E+03  0.9205754E+01
  0.2750000E+00  0.2626037E-05  0.9561239E-05  0.7500184E+02  0.3705769E-20  0.2683400E-19  0.2105505E-12 -0.1200000E+03  0.9205753E+01
  0.2775000E+00  0.2626276E-05  0.9530427E-05  0.7499805E+02  0.4023406E-20  0.5949559E-19  0.4683582E-12 -0.1200000E+03  0.9205752E+01
  0.2800000E+00  0.2673689E-05  0.9538184E-05  0.7500183E+02  0.3917527E-20  0.6816921E-19  0.5383513E-12 -0.1200000E+03  0.9205752E+01
  0.2825000E+00  0.2673967E-05  0.9544626E-05  0.7499805E+02  0.4235165E-20  0.7209945E-19  0.5677749E-12 -0.1200000E+03  0.9205751E+01
  0.2850000E+00  0.2721412E-05  0.9549817E-05  0.7500183E+02  0.4341044E-20  0.7426785E-19  0.5843168E-12 -0.1200000E+03  0.9205751E+01
  0.2875000E+00  0.2721716E-05  0.9553831E-05  0.7499805E+02  0.4658681E-20  0.8077306E-19  0.6367411E-12 -0.1200000E+03  0.9205750E+01
  0.2900000E+00  0.2769181E-05  0.9556732E-05  0.7500183E+02  0.4870439E-20  0.6694948E-19  0.5269912E-12 -0.1200000E+03  0.9205750E+01
  0.2925000E+00  0.2769499E-05  0.9558597E-05  0.7499805E+02  0.5082198E-20  0.6505213E-19  0.5115282E-12 -0.1200000E+03  0.9205750E+01
  0.2950000E+00  0.2816974E-05  0.9559492E-05  0.7500183E+02  0.5293956E-20  0.1558541E-19  0.1222647E-12 -0.1200000E+03  0.9205750E+01
  0.2975000E+00  0.2817297E-05  0.9559487E-05  0.7499805E+02  0.5293956E-20  0.1992222E-19  0.1565950E-12 -0.1200000E+03  0.9205749E+01
  0.3000000E+00  0.2864771E-05  0.9558654E-05  0.7500183E+02  0.5505714E-20  0.3604972E-19  0.2833569E-12 -0.1200000E+03  0.9205749E+01
  0.3025000E+00  0.2865090E-05  0.9557066E-05  0.7499805E+02  0.5505714E-20 -0.3089976E-19 -0.2427395E-12 -0.1200000E+03  0.9205748E+01
  0.3050000E+00  0.2912557E-05  0.9554792E-05  0.7500183E+02  0.5505714E-20  0.2480112E-19  0.1948959E-12 -0.1200000E+03  0.9205747E+01
  0.3075000E+00  0.2912864E-05  0.9551905E-05  0.7499805E+02  0.5929231E-20  0.3469448E-19  0.2731594E-12 -0.1200000E+03  0.9205747E+01
  0.3100000E+00  0.2960316E-05  0.9548473E-05  0.7500183E+02  0.5505714E-20 -0.2854503E-20 -0.2243950E-13 -0.1200000E+03  0.9205746E+01
  0.3125000E+00  0.2960606E-05  0.9544575E-05  0.7499805E+02  0.5717472E-20  0.1965117E-19  0.1542719E-12 -0.1200000E+03  0.9205746E+01
  0.3150000E+00  0.3008039E-05  0.9540273E-05  0.7500183E+02  0.5717472E-20  0.3506716E-20  0.2756126E-13 -0.1200000E+03  0.9205745E+01
  0.3175000E+00  0.3008308E-05  0.9535644E-05  0.7499805E+02  0.5929231E-20  0.2253108E-20  0.1776091E-13 -0.1200000E+03  0.9205745E+01
  0.3200000E+00  0.3055718E-05  0.9530757E-05  0.7500183E+02  0.5717472E-20  0.2981556E-20  0.2341918E-13 -0.1200000E+03  0.9205744E+01
  0.3225000E+00  0.3055961E-05  0.9565631E-05  0.7499805E+02  0.5717472E-20  0.5759824E-19  0.4533339E-12 -0.1200000E+03  0.9205744E+01
  0.3250000E+00  0.3103546E-05  0.9560400E-05  0.7500184E+02  0.5929231E-20  0.3171292E-19  0.2495756E-12 -0.1200000E+03  0.9205743E+01
