 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 08/03/2016; time = 16:51:48
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=  2.0000001E-03
 # location=faultst000dp075
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
 # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stres
 s
 #
  0.7400000E-01  0.9284361E-02  0.1650828E+00  0.8081666E+02 -0.1481279E-11  0.4307552E-10  0.2108771E-07 -0.1200000E+03
  0.7600001E-01  0.9612967E-02  0.1635165E+00  0.8080161E+02 -0.9610480E-12  0.1157652E-09  0.5720533E-07 -0.1200000E+03
  0.7800000E-01  0.9938427E-02  0.1619559E+00  0.8078683E+02 -0.1018218E-11  0.6199393E-10  0.3092379E-07 -0.1200000E+03
  0.8000001E-01  0.1026079E-01  0.1604405E+00  0.8077207E+02 -0.7130718E-12  0.9257817E-10  0.4660752E-07 -0.1199999E+03
  0.8200000E-01  0.1058019E-01  0.1590094E+00  0.8075756E+02 -0.6479042E-12  0.1636812E-09  0.8313024E-07 -0.1200000E+03
  0.8400001E-01  0.1089683E-01  0.1577010E+00  0.8074306E+02 -0.5834482E-13  0.8785282E-10  0.4498069E-07 -0.1199999E+03
  0.8600000E-01  0.1121099E-01  0.1565524E+00  0.8072881E+02 -0.2964920E-12 -0.3053731E-11 -0.1574705E-08 -0.1200000E+03
  0.8800001E-01  0.1152304E-01  0.1556002E+00  0.8071450E+02 -0.7055987E-13 -0.1499419E-09 -0.7777938E-07 -0.1199999E+03
  0.9000000E-01  0.1183340E-01  0.1548799E+00  0.8070040E+02 -0.8962604E-12 -0.1882873E-09 -0.9810743E-07 -0.1200000E+03
  0.9200001E-01  0.1214256E-01  0.1544249E+00  0.8068624E+02 -0.8237091E-12 -0.3243438E-09 -0.1694681E-06 -0.1199999E+03
