S.NO.   STATION ID  Major Lat   Minor Lat   LATITUDE    Major Lat   Minor Lat   LONGITUDE
81    T03411L11820      34.0000     11.0000     34.3438     118.0000    20.0000     118.6250
82    T03410L11820      34.0000     10.0000     34.3125     118.0000    20.0000     118.6250
83    T03409L11820      34.0000     9.0000      34.2813     118.0000    20.0000     118.6250
84    T03408L11820      34.0000     8.0000      34.2500     118.0000    20.0000     118.6250
85    T03407L11820      34.0000     7.0000      34.2188     118.0000    20.0000     118.6250
86    T03406L11820      34.0000     6.0000      34.1875     118.0000    20.0000     118.6250
87    T03404L11820      34.0000     4.0000      34.1250     118.0000    20.0000     118.6250
88    T03402L11820      34.0000     2.0000      34.0625     118.0000    20.0000     118.6250
89    T03412L11819      34.0000     12.0000     34.3750     118.0000    19.0000     118.5938
90    T03411L11819      34.0000     11.0000     34.3438     118.0000    19.0000     118.5938
91    T03410L11819      34.0000     10.0000     34.3125     118.0000    19.0000     118.5938
92    T03409L11819      34.0000     9.0000      34.2813     118.0000    19.0000     118.5938
93    T03408L11819      34.0000     8.0000      34.2500     118.0000    19.0000     118.5938
94    T03407L11819      34.0000     7.0000      34.2188     118.0000    19.0000     118.5938
95    T03406L11819      34.0000     6.0000      34.1875     118.0000    19.0000     118.5938
96    T03416L11818      34.0000     16.0000     34.5000     118.0000    18.0000     118.5625
97    T03414L11818      34.0000     14.0000     34.4375     118.0000    18.0000     118.5625
98    T03412L11818      34.0000     12.0000     34.3750     118.0000    18.0000     118.5625
99    T03411L11818      34.0000     11.0000     34.3438     118.0000    18.0000     118.5625
100   T03410L11818      34.0000     10.0000     34.3125     118.0000    18.0000     118.5625
101   T03409L11818      34.0000     9.0000      34.2813     118.0000    18.0000     118.5625
102   T03408L11818      34.0000     8.0000      34.2500     118.0000    18.0000     118.5625
103   T03407L11818      34.0000     7.0000      34.2188     118.0000    18.0000     118.5625
104   T03406L11818      34.0000     6.0000      34.1875     118.0000    18.0000     118.5625
105   T03404L11818      34.0000     4.0000      34.1250     118.0000    18.0000     118.5625
106   T03402L11818      34.0000     2.0000      34.0625     118.0000    18.0000     118.5625
107   T03412L11817      34.0000     12.0000     34.3750     118.0000    17.0000     118.5313
108   T03411L11817      34.0000     11.0000     34.3438     118.0000    17.0000     118.5313
109   T03410L11817      34.0000     10.0000     34.3125     118.0000    17.0000     118.5313
